인덱스,상품명,할인율,할인가,원가,이미지
140,[이유케어스] 무럭무럭 과일퓨레 망고랑 바나나 1박스(7개입),13%,"18,900","21,900",https://www.oasis.co.kr:48581/product/34543/thumb/thumb_3454313f8ed10-4c20-4449-91e9-becd2692a068.jpg_300
141,볼라레 마르게리타피자 320g,20%,"11,900","15,000",https://www.oasis.co.kr:48581/product/34117/thumb/thumb_34117156b8b6f-6d0a-46c3-8c8c-7f15c746f253.jpg_300
142,우리밀 통살텐더 순한맛(350g),34%,"4,900","7,500",https://www.oasis.co.kr:48581/product/34355/thumb/thumb_34355f36af937-bc27-4645-b2c6-615a161e62ef.jpg_300
143,아침미소 수제요구르트(500ml),17%,"4,980","6,000",https://www.oasis.co.kr:48581/product/21320/thumb/thumb_213205fa957e3-92c7-4a10-a3e3-c0487b71545c.jpg_300
144,좋은발효 딸기 요구르트 (500ml),20%,"3,520","4,400",https://www.oasis.co.kr:48581/product/2304/thumb/thumb_230412301ed2-c07e-4ca4-a642-1e3a4f8b2c78.jpg_300
145,우리밀 통살텐더 매운맛(350g),36%,"4,800","7,500",https://www.oasis.co.kr:48581/product/34351/thumb/thumb_343513b3c779b-ab0a-4019-b46b-e3f340e3e100.jpg_300
146,[세트]오아시스마켓 파스타 3종,35%,"12,350","19,000",https://www.oasis.co.kr:48581/product/35630/thumb/thumb_35630a2c64812-3a28-4b21-9497-b64a95d40228.jpg_300
147,아침미소 수제요구르트(150ml),17%,"1,980","2,400",https://www.oasis.co.kr:48581/product/21286/thumb/thumb_212863b9532fc-69f4-4eab-9477-6f1ab2e66236.jpg_300
148,국산 오징어링 수제튀김(230g),20%,"6,800","8,500",https://www.oasis.co.kr:48581/product/38079/thumb/thumb_38079838ee0ed-833a-48b7-8840-d1232c718b55.jpg_300
149,무농약 감자로 만든 감자전(390g),17%,"5,600","6,800",https://www.oasis.co.kr:48581/product/33362/thumb/thumb_33362fc703172-5fce-492c-b324-f99e4f805ad8.jpg_300
150,상하목장 유기농 드링킹 요거트 (750ml),26%,"4,500","6,100",https://www.oasis.co.kr:48581/product/1921/thumb/thumb_192193b47fed-5c3f-440c-884a-c555bd280b1e.jpg_300
151,닭목살 꼬치(450g),19%,"12,600","15,600",https://www.oasis.co.kr:48581/product/37521/thumb/thumb_37521cce79403-82aa-49a2-afa8-0892d0d5b243.jpg_300
152,[MD추천]아몬드 바삭대추 25g,12%,"2,800","3,200",https://www.oasis.co.kr:48581/product/9228/thumb/thumb_922815642e2e-97eb-4b16-933b-092e08ae1d20.jpg_300
