인덱스,상품명,할인율,할인가,원가
121,고소한 옥수수스낵(60g),20%,"1,760","2,200"
122,라이스 크로아상 생지 (70g x 4개),25%,"8,900","12,000"
123,"버터밀크 비스퀴(2입, 90g내외)",24%,"3,400","4,500"
124,무항생제 한돈등심 흑초 꿔바로우(530g),21%,"6,900","8,800"
125,트러플 포테이토 수프(200g),20%,"2,800","3,500"
126,콘 수프(200g),20%,"2,800","3,500"
127,단호박 우유 수프(200g),17%,"3,200","3,900"
128,미니 고기만두(180g/1봉),33%,"1,750","2,650"
129,무항생제 통통등심 미니돈까스(500g),26%,"8,500","11,500"
130,바사삭 치킨 닭다리(420g),15%,"7,600","8,980"
131,우리밀 치즈폭탄 시카고피자(420g),19%,"7,900","9,800"
132,시저 콥 샐러드 (185g/245kcal),20%,"4,720","5,900"
133,[프로모션] 새우 파스타 샐러드 (185g/195kcal),25%,"4,420","5,900"
134,멕시칸 닭가슴살 샐러드 (185g/200kcal),20%,"4,720","5,900"
135,[증정특가] 유기농 크로아상 생지(60g×5개입),20%,"10,400","13,000"
136,우리밀 크리스피 치킨너겟(300g),27%,"4,000","5,500"
137,우리밀 통살 가라아게(300g),20%,"4,800","6,000"
138,우리밀 귀리 비빔면(138g),30%,"1,600","2,300"
139,"백리향 마파두부(3인분,812.5g)",15%,"14,200","16,900"
140,"[63파빌리온]설악황태진국(2인분,540g)",29%,"12,600","17,900"
141,"[63파빌리온]양갈비스테이크(냉장,663g)",20%,"25,900","32,400"
142,볼로네제 새송이 파스타(350g),20%,"4,900","6,200"
143,크림치즈 베이컨 파스타(360g),21%,"5,150","6,600"
144,로제 쉬림프 파스타(360g),20%,"4,900","6,200"
145,알배기 간장게장(900g / 암꽃게 大 1미),25%,"28,800","38,400"
146,알배기 간장게장(600g / 암꽃게 中 1미),25%,"23,550","31,400"
147,순살 간장게장(200g),25%,"16,800","22,400"
148,순살 양념게장(200g),25%,"16,800","22,400"
149,펠트 콜드브루 원액 디카페인 (500ml),3%,"13,500","14,000"
150,발효 콤부차(5g×30포),26%,"10,900","14,800"
151,발사믹 토마토 카프레제 샐러드(189g),28%,"3,500","4,900"
152,"[중앙해장]한우 양선지 해장국 (냉장,960g)",25%,"12,000","16,000"
153,떡미당 밥알 쑥 찹쌀떡 (360g),7%,"6,000","6,500"
154,떡미당 밥알 쑥개떡 (360g),15%,"6,800","8,000"
155,떡미당 앙꼬절편 쑥 (350g),3%,"5,800","6,000"
156,떡미당 앙꼬절편 흰 (350g),3%,"5,800","6,000"
157,네기 우삼겹 생우동(740g),30%,"6,900","9,900"
158,태번38 라구생면 파스타(430g) ,29%,"8,400","11,900"
159,매뉴팩트커피 드립백 폴 고갱 12g x 5팩,20%,"10,000","12,500"
160,감미옥 설렁탕 570g,18%,"9,400","11,500"
161,[맛보장]초코 퍼지 쿠키 45g,29%,"2,900","4,100"
162,"[만석장]들깨 순두부찌개(2인분,600g)",26%,"7,300","9,900"
163,꽁피튀르 파리지엥 유기농 딸기잼 2종(30g/100g),10%,"3,500","3,900"
164,꽁피튀르 파리지엥 유기농 라즈베리잼 2종(30g/100g),10%,"3,500","3,900"
165,꽁피튀르 파리지엥 유기농 살구잼(30g),10%,"3,500","3,900"
166,꽁피튀르 파리지엥 뉘생조르주 레드와인 잼(100g),7%,"11,500","12,400"
167,꽁피튀르 파리지엥 뱅블랑뤼떼스 화이트와인 잼(100g),7%,"11,500","12,400"
168,취영루 육즙가득 물만두(500g),7%,"6,000","6,500"
169,제주부엌 고기국밥520g,26%,"8,400","11,500"
170,"[반얀트리 호텔 몽상클레르] 케익쇼콜라(1박스, 250g)",20%,"17,500","22,000"
171,설성목장 한돈 촉촉 물만두 (400g),30%,"4,340","6,200"
172,영국풍 인도 커리 3종,20%,"6,500","8,200"
173,빵어니스타 노오일 파운드 4종(각 140g),8%,"5,060","5,500"
174,빵어니스타 비스코티 3종(각 120g),5%,"7,400","7,800"
175,빵어니스타 타르트 4종(각 90g),7%,"5,800","6,300"
176,[입점특가] 라쿠치나 간편 파스타 3종  (알리오올리오 | 바질페스토 | 올리브토마토),16%,"5,000","6,000"
177,효뜨 매운 소고기 쌀국수(630g),26%,"8,500","11,500"
178,[입점특가] 메쉬포테이토와 케이준 치킨 샐러드 랩(200g/350kcal),20%,"4,720","5,900"
179,천연발효종 론도 (250g),28%,"3,960","5,500"
180,[반얀트리 호텔 몽상클레르]미니 까망베르 치즈 케이크(300g),32%,"16,900","25,000"
181,"[반얀트리 호텔 몽상클레르]가또도랑쥬 파운드 케이크(500g,쇼핑백포함)",37%,"22,000","35,000"
182,[대용량] 우리밀 미니 슈크림붕어빵 500g(50g * 10개입),24%,"5,470","7,200"
183,"[백리향]삼선짬뽕(2인분,726g)",15%,"11,700","13,900"
184,"[반얀트리 호텔 몽상클레르] 홍차 카스텔라(1박스, 350g)",24%,"19,000","25,000"
185,수제 우유 꿀설기떡(90g*5입),15%,"5,950","7,000"
186,수제 제주해풍쑥 설기떡(90g*5입),15%,"9,000","10,700"
187,수제 단호박 설기떡(90g*5입),20%,"7,200","9,000"
188,한우고기곰탕(1kg),40%,"7,200","12,000"
189,"[중앙해장] 한우1++양지곰탕(냉장,700g)",18%,"13,000","16,000"
190,남원골 추어탕 (500g),15%,"6,800","8,000"
191,남원골 장어탕 (500g),20%,"7,200","9,000"
192,샤브레쇼콜라 (100g),27%,"3,990","5,500"
193,크렌베리쇼트 (100g),30%,"3,850","5,500"
194,플레인 동물 쿠키 (100g),29%,"3,900","5,500"
195,위너스카카오 (100g),27%,"3,990","5,500"
196,마카다미아 쿠키(100g),34%,"4,130","6,300"
197,곤드레 된장찌개 (200g),0%,"4,600","4,600"
198,고추장찌개 (200g),0%,"4,600","4,600"
199,청국장찌개 (160g),0%,"4,300","4,300"
200,미니 김치만두(180g/1봉),37%,"1,850","2,950"
201,콩탕 (200g),0%,"4,300","4,300"
202,무농약 우엉채조림(100g),30%,"4,200","6,000"
203,멸치볶음(아몬드+크랜베리)(100g),25%,"3,900","5,200"
204,감자채볶음(130g),36%,"1,900","3,000"
205,생오징어 볶음 (350g),22%,"7,800","10,000"
206,아삭이고추 된장무침(180g),47%,"3,180","6,000"
207,[오늘의 반찬] 무항생제 소세지 야채볶음(250g),28%,"3,200","4,500"
208,고추장 멸치볶음(120g),45%,"3,200","5,900"
209,무항생제 한우 육개장(1kg/2~3인분),36%,"11,500","18,000"
210,무항생제 한우 얼갈이국 (500g),15%,"10,200","12,000"
