인덱스,상품명,할인율,할인가,원가,이미지
56,잇딸리아 마르게리타 수제화덕피자(320g),24%,"8,200","10,900",https://www.oasis.co.kr:48581/product/36687/thumb/thumb_3668774de6663-61ac-474e-98b7-be5f4da7f83a.jpg_300
57,MSC인증 붉은대게살 크래미(142g),25%,"2,600","3,500",https://www.oasis.co.kr:48581/product/43320/thumb/thumb_43320cf2890c1-3c9f-4538-a8fa-1642b83d6ebd.jpg_300
58,남해 순살 새꼬막(230g),20%,"6,320","7,900",https://www.oasis.co.kr:48581/product/3846/thumb/thumb_384668752fc7-4c39-4725-8b4f-dfb86fb0f222.jpg_300
59,설성목장 한돈 촉촉 물만두 (400g),30%,"4,340","6,200",https://www.oasis.co.kr:48581/product/41241/thumb/thumb_41241880ed9d1-7b59-4e4d-8232-9b80c423d2bb.jpg_300
60,촉촉 고구마스틱 번들팩 (20g*10개),54%,"8,400","18,600",https://www.oasis.co.kr:48581/product/4146/thumb/thumb_4146dd57b57b-cb33-4d4f-9d16-20a6d08b4656.jpg_300
61,여수 손질 낙지(200g),33%,"11,800","17,800",https://www.oasis.co.kr:48581/product/5102/thumb/thumb_5102de3318ae-43d6-4e7b-b9a1-f351268aea72.jpg_300
62,바로먹는 문어 슬라이스 (200g),35%,"11,500","17,800",https://www.oasis.co.kr:48581/product/3884/thumb/thumb_3884abb01e59-0fcb-4541-9bdb-857d8ea8e97d.jpg_300
63,"전통 순창고추장 불고기 (냉동, 400g)",25%,"4,950","6,600",https://www.oasis.co.kr:48581/product/2128/thumb/thumb_2128a73804f2-d0a7-4c1f-950b-d5f5b3ee566b.jpg_300
64,한우로 만든 육포 50g,5%,"10,300","10,900",https://www.oasis.co.kr:48581/product/1021/thumb/thumb_1021a953f7cb-c39e-4cac-ae66-8ce4af86f42b.jpg_300
65,새우 멘보샤 프라이(300g),22%,"8,500","10,900",https://www.oasis.co.kr:48581/product/7008/thumb/thumb_7008102a57a8-47de-4f0d-ae9b-326601c5fd87.jpg_300
66,순한 참진미 오징어 (100g),30%,"8,680","12,400",https://www.oasis.co.kr:48581/product/214/thumb/thumb_214162754ae-e67c-4fca-b96e-01a11999c3c3.gif_300
67,[재오픈]한방육수 양념편육(300g),31%,"5,500","8,000",https://www.oasis.co.kr:48581/product/11752/thumb/thumb_117522c83a46c-5aff-4e1d-a6e9-f328c601687f.jpg_300
68,통통살 오징어볼(300g),15%,"6,700","7,900",https://www.oasis.co.kr:48581/product/36064/thumb/thumb_36064d0639a9c-c4c1-4a48-840c-650d2b9f64da.jpg_300
69,동물복지 토마토소스 치킨미트볼(210g),30%,"4,900","7,000",https://www.oasis.co.kr:48581/product/40646/thumb/thumb_40646d653e8c7-1950-47bc-a8fc-883147a63095.jpg_300
70,동물복지 크림소스 치킨미트볼(210g),30%,"4,900","7,000",https://www.oasis.co.kr:48581/product/40713/thumb/thumb_40713ebc8e2b2-0126-45da-955b-bacb24942c57.jpg_300
71,펭귄 수제화덕피자 마르게리따(300g),11%,"10,500","11,900",https://www.oasis.co.kr:48581/product/40841/thumb/thumb_40841f473e177-d4c5-4683-853b-1f50f22133a2.jpg_300
72,펭귄 수제화덕피자 마농(마늘) 세떼치즈(373g),22%,"11,500","14,900",https://www.oasis.co.kr:48581/product/40843/thumb/thumb_408430d3690d4-c5e0-425e-a45d-12a4a8d41fdf.jpg_300
73,"우리밀 미니 왕만두(1kg,냉동)",13%,"8,700","10,000",https://www.oasis.co.kr:48581/product/1732/thumb/thumb_17321ad4316f-d370-42a1-873d-79600c6fa300.jpg_300
74,보쌈 맛김치 (1kg),15%,"9,700","11,500",https://www.oasis.co.kr:48581/product/3747/thumb/thumb_37471e42cf36-3d3b-4656-864b-54481eff7af2.gif_300
75,고기손만두 (530g/1봉),18%,"5,300","6,500",https://www.oasis.co.kr:48581/product/434/thumb/thumb_43401371d1f-b18e-454f-b4d1-e48d43a53db0.jpg_300
76,물만두 (530g),18%,"5,300","6,500",https://www.oasis.co.kr:48581/product/429/thumb/thumb_429c8bec412-fc56-4d12-9f86-da583a8c080f.jpg_300
77,김치손만두 (530g),18%,"5,300","6,500",https://www.oasis.co.kr:48581/product/433/thumb/thumb_4336d5b1219-dc57-4142-a9e2-cbf3a64818b8.jpg_300
78,자연에찬 동태전(300g),20%,"8,400","10,500",https://www.oasis.co.kr:48581/product/1963/thumb/thumb_1963a9c0730d-87ac-4e07-893c-4353f736e9a0.jpg_300
79,자연에찬 녹두전(300g),20%,"9,900","12,500",https://www.oasis.co.kr:48581/product/1958/thumb/thumb_1958ed73bac6-ab60-4c9d-bc5c-bddf570fd681.jpg_300
80,자연에찬 깻잎전(300g),20%,"8,800","11,000",https://www.oasis.co.kr:48581/product/2734/thumb/thumb_273476cc5669-a20d-4dac-bd56-a95ddedeedf7.jpg_300
81,남해안 무첨가 쥐치포 (200g),20%,"21,440","26,800",https://www.oasis.co.kr:48581/product/3040/thumb/thumb_30403a649e1d-ab69-4cea-bebe-ec72f5a87793.jpg_300
82,순한 조미 오징어(100g),20%,"9,920","12,400",https://www.oasis.co.kr:48581/product/5830/thumb/thumb_5830e71ddae6-3e27-4b16-b7f2-c8424fc9d2f9.gif_300
83,[우승상품]편스토랑 진또배기 매운찜갈비(2인분),15%,"15,700","18,500",https://www.oasis.co.kr:48581/product/48066/thumb/thumb_4806603720738-f782-4731-be42-ade55c559d95.jpg_300
84,갤러리아 속초 코다리 냉면( 2인분/880g),28%,"9,900","13,900",https://www.oasis.co.kr:48581/product/36393/thumb/thumb_36393a53c0875-e5f8-428a-9387-2b2b7904a56c.jpg_300
85,근위(닭똥집) 꼬치(450g),23%,"7,300","9,500",https://www.oasis.co.kr:48581/product/37524/thumb/thumb_37524049f54c6-3a94-4173-a4c1-b8381f63a878.jpg_300
86,닭 염통 꼬치(330g),21%,"7,800","9,900",https://www.oasis.co.kr:48581/product/37536/thumb/thumb_37536ba2811ba-a77d-45b5-be25-fd0905609996.jpg_300
87,파닭 꼬치(450g),20%,"12,500","15,700",https://www.oasis.co.kr:48581/product/37543/thumb/thumb_37543446185ee-e36c-4cca-8625-8a3597b3afa2.jpg_300
88,"[신규상품]사이드쇼 떡볶이(2인분, 536g)",0%,"7,500","7,500",https://www.oasis.co.kr:48581/product/42471/thumb/thumb_424710baa748b-d2fd-46da-87a4-a70f1721965e.jpg_300
89,"[신규상품]사이드쇼 쫄볶이(2인분, 566g)",0%,"8,000","8,000",https://www.oasis.co.kr:48581/product/42474/thumb/thumb_424743d3bfd75-b7e0-4814-9b08-54e709accb03.jpg_300
90,감자치즈볼 (500g | 냉동),14%,"9,100","10,700",https://www.oasis.co.kr:48581/product/6896/thumb/thumb_6896f11b3d99-3652-4411-9555-a8160da6ea6e.jpg_300
91,"라파엘살가도 엑스트라버진 올리브유 (미니,90ml)",20%,"2,800","3,500",https://www.oasis.co.kr:48581/product/18714/thumb/thumb_187140d406da7-9173-49b9-ac9f-5575c5fe951d.jpg_300
92,우리밀 치즈폭탄 시카고피자(420g),19%,"7,900","9,800",https://www.oasis.co.kr:48581/product/27776/thumb/thumb_27776c779f91d-550c-4e55-9da9-1d6151914745.gif_300
93,태번38 라구생면 파스타(430g) ,29%,"8,400","11,900",https://www.oasis.co.kr:48581/product/36198/thumb/thumb_361986b254071-3fb9-491c-94be-11ea166a790d.jpg_300
94,[대용량] 우리밀 미니 슈크림붕어빵 500g(50g * 10개입),24%,"5,470","7,200",https://www.oasis.co.kr:48581/product/8390/thumb/thumb_8390ed9e270a-02ae-4861-ad96-5b021ae3efb9.gif_300
95,부엉이돈가스 눈꽃 치즈돈가스(360g),18%,"9,600","11,800",https://www.oasis.co.kr:48581/product/46815/thumb/thumb_46815570e87d0-710c-4cba-a873-32a4d833ee29.jpg_300
96,부엉이돈가스 더티 치즈돈가스(260g),26%,"7,900","10,800",https://www.oasis.co.kr:48581/product/46816/thumb/thumb_46816c5d95710-984b-4454-ae8f-1a0103ef3e6e.jpg_300
97,전통 감자전(400g),20%,"5,200","6,500",https://www.oasis.co.kr:48581/product/7957/thumb/thumb_795707670ea6-abed-4c88-baf5-c678ee20aacb.jpg_300
98,매콤 감자전(400g),20%,"5,360","6,700",https://www.oasis.co.kr:48581/product/7958/thumb/thumb_795864d9cd7d-ed10-4b62-be32-5398f56cf8fd.jpg_300
99,다시마 국수 (180g) / 소스 미포함,28%,"1,780","2,500",https://www.oasis.co.kr:48581/product/24589/thumb/thumb_24589eb1b3388-c85d-4334-bc37-09cb8e551226.jpg_300
100,동해에서 잡은 골뱅이(230g),32%,"10,800","16,000",https://www.oasis.co.kr:48581/product/2690/thumb/thumb_2690cddcc594-1620-414a-bf40-cb0fc3fc079e.jpg_300
101,"속초 중앙닭강정(순살 보통맛, 600g)",0%,"12,900","12,900",https://www.oasis.co.kr:48581/product/36699/thumb/thumb_36699b4454b60-e180-44b4-a13e-aff611627f04.jpg_300
102,"속초 중앙닭강정(순살 달콤한맛, 600g)",0%,"12,900","12,900",https://www.oasis.co.kr:48581/product/36702/thumb/thumb_3670271c7f545-b367-4995-b4f7-1d580b00ff7f.jpg_300
103,[어반나이프]무항생제 페파 살라미(90g),24%,"5,900","7,800",https://www.oasis.co.kr:48581/product/37671/thumb/thumb_37671b5bc160c-d667-4ae4-9940-a1ec355211d7.jpg_300
104,[어반나이프]무항생제 쵸리조(90g),24%,"5,900","7,800",https://www.oasis.co.kr:48581/product/37690/thumb/thumb_376903a23754c-6320-4def-8e79-4ae4d71fd9cb.jpg_300
105,볼라레 마르게리타피자 320g,20%,"11,900","15,000",https://www.oasis.co.kr:48581/product/34117/thumb/thumb_34117156b8b6f-6d0a-46c3-8c8c-7f15c746f253.jpg_300
106,쫄깃한 족발 (350g),20%,"13,600","17,000",https://www.oasis.co.kr:48581/product/2418/thumb/thumb_2418e8a007fa-78c8-4861-96b1-05259f485208.jpg_300
107,닭목살 꼬치(450g),19%,"12,600","15,600",https://www.oasis.co.kr:48581/product/37521/thumb/thumb_37521cce79403-82aa-49a2-afa8-0892d0d5b243.jpg_300
108,우리밀 통살텐더 매운맛(350g),36%,"4,800","7,500",https://www.oasis.co.kr:48581/product/34351/thumb/thumb_343513b3c779b-ab0a-4019-b46b-e3f340e3e100.jpg_300
109,유기농 닭다리살 꼬치(250g),25%,"11,750","15,800",https://www.oasis.co.kr:48581/product/2758/thumb/thumb_27584e85eed1-c1cc-4e80-bb6a-907763d69948.jpg_300
110,국산 오징어링 수제튀김(230g),20%,"6,800","8,500",https://www.oasis.co.kr:48581/product/38079/thumb/thumb_38079838ee0ed-833a-48b7-8840-d1232c718b55.jpg_300
111,석쇠 닭갈비(300g),11%,"7,900","8,900",https://www.oasis.co.kr:48581/product/7024/thumb/thumb_7024c290100b-144c-4982-8781-b0197800f201.jpg_300
112,"[온더보더] 비프 퀘사디아(2~3인분,546g)",15%,"13,500","15,900",https://www.oasis.co.kr:48581/product/32932/thumb/thumb_329321dd09e77-e810-45f9-90ef-bf77c2032bb8.jpg_300
113,무항생제 자연공법 오리훈제(400g),20%,"10,800","13,500",https://www.oasis.co.kr:48581/product/2623/thumb/thumb_262365ed04cb-4272-4447-8b10-74cba852d529.jpg_300
114,우리밀 통살텐더 순한맛(350g),34%,"4,900","7,500",https://www.oasis.co.kr:48581/product/34355/thumb/thumb_34355f36af937-bc27-4645-b2c6-615a161e62ef.jpg_300
115,유기농 고추장닭갈비 400g,31%,"17,100","25,000",https://www.oasis.co.kr:48581/product/13592/thumb/thumb_1359256cf8a33-5d0d-4ecd-a754-b82eff9e0008.jpg_300
